id_hecho,n_victimas,fecha,franja_hora,tipo_calle,comuna,pos_x,pos_y,participantes,acusado,gravedad,rol,vehiculo_victima,sexo_victima,edad_victima
2016-0001,1,2016-01-01,4,avenida,8.0,-58.47533969,-34.68757022,moto-auto,auto,fatal,conductor,moto,masculino,19
2016-0002,1,2016-01-02,1,gral paz,9.0,-58.50877521,-34.66977709,auto-pasajeros,pasajeros,fatal,conductor,auto,masculino,70
2016-0003,1,2016-01-03,7,avenida,1.0,-58.39040293,-34.63189362,moto-auto,auto,fatal,conductor,moto,masculino,30
2016-0004,1,2016-01-10,0,avenida,8.0,-58.46503904,-34.68092974,moto-sd,,fatal,conductor,moto,masculino,18
2016-0005,1,2016-01-21,5,avenida,1.0,-58.38718297,-34.6224663,moto-pasajeros,pasajeros,fatal,conductor,moto,masculino,29
2016-0008,1,2016-01-24,18,avenida,8.0,-58.44451316,-34.68475866,moto-objeto fijo,objeto fijo,fatal,conductor,moto,masculino,30
2016-0009,1,2016-01-24,19,calle,11.0,-58.50095869,-34.6082544,moto-auto,auto,fatal,pasajero,moto,masculino,29
2016-0010,1,2016-01-29,15,gral paz,9.0,-58.50877521,-34.66977709,moto-auto,auto,fatal,conductor,moto,masculino,18
2016-0012,1,2016-02-08,1,avenida,1.0,-58.38048577,-34.61303893,moto-cargas,cargas,fatal,conductor,moto,masculino,22
2016-0013,1,2016-02-10,11,avenida,1.0,-58.39114932,-34.62477387,peaton-auto,auto,fatal,peatón,peatón,masculino,16
2016-0015,1,2016-02-14,5,avenida,15.0,-58.4376002,-34.59912758,peaton-auto,auto,fatal,peatón,peatón,femenino,16
2016-0016,1,2016-02-14,22,avenida,4.0,-58.36882665,-34.64291993,moto-auto,auto,fatal,pasajero,moto,femenino,19
2016-0017,1,2016-02-15,16,avenida,8.0,-58.44989671,-34.65970435,peaton-moto,moto,fatal,peatón,peatón,masculino,59
2016-0019,1,2016-02-17,9,calle,9.0,-58.50990884,-34.65468721,peaton-pasajeros,pasajeros,fatal,peatón,peatón,femenino,65
2016-0020,1,2016-02-17,16,calle,1.0,-58.37952223,-34.60653282,peaton-auto,auto,fatal,peatón,peatón,masculino,59
2016-0021,1,2016-02-17,23,avenida,7.0,-58.45157703,-34.63063795,auto-auto,auto,fatal,conductor,auto,masculino,34
2016-0022,1,2016-02-21,6,avenida,1.0,-58.38144696,-34.61079875,moto-auto,auto,fatal,pasajero,moto,masculino,41
2016-0025,1,2016-02-28,4,gral paz,8.0,-58.46244952,-34.70524971,auto-auto,auto,fatal,pasajero,auto,masculino,34
2016-0026,1,2016-02-28,7,calle,12.0,-58.49216191,-34.54738649,auto-objeto fijo,objeto fijo,fatal,conductor,auto,masculino,30
2016-0027,1,2016-02-28,9,avenida,7.0,-58.44497874,-34.63852623,auto-auto,auto,fatal,pasajero,auto,masculino,34
2016-0028,1,2016-03-02,10,avenida,1.0,-58.38199706,-34.60028648,peaton-cargas,cargas,fatal,peatón,peatón,masculino,50
2016-0029,1,2016-03-04,17,avenida,12.0,-58.47378664,-34.54153077,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,38
2016-0031,1,2016-03-08,12,gral paz,8.0,-58.47064556,-34.69843756,moto-pasajeros,pasajeros,fatal,conductor,moto,masculino,21
2016-0034,1,2016-03-12,12,avenida,4.0,-58.40623949,-34.65076549,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,52
2016-0035,1,2016-03-13,6,avenida,3.0,-58.39228965,-34.60443527,moto-pasajeros,pasajeros,fatal,conductor,moto,masculino,34
